Date,Portfolio_Value
2023-10-18,158528.022808097
2023-10-19,157959.88729868666
2023-10-20,157243.8009353917
2023-10-23,151602.7920188128
2023-10-25,148516.93472792185
2023-10-26,148108.25799903183
2023-10-27,150585.85861713282
2023-10-30,150249.70735316287
2023-10-31,151410.7304809144
2023-11-01,150843.72773786023
2023-11-02,152176.87550242338
2023-11-03,153574.39465885487
2023-11-06,154858.17659984346
2023-11-07,156193.2941977047
2023-11-08,157910.43228341802
2023-11-09,157498.15519386088
2023-11-10,158459.929964483
2023-11-13,161338.52930861444
2023-11-15,162779.7327641882
2023-11-16,163082.64843743102
2023-11-17,164029.48190425226
2023-11-20,163159.591563109
2023-11-21,163175.19225213802
2023-11-22,162545.15086054354
2023-11-23,163678.04986323003
2023-11-24,163139.896677037
2023-11-28,162852.75242375658
2023-11-29,162603.26029821043
2023-11-30,163361.67514666083
2023-12-01,163714.41021323894
2023-12-04,165019.7171342509
2023-12-05,165050.06602432192
2023-12-06,166000.7566933189
2023-12-07,156285.9064809361
2023-12-08,154948.32880071003
2023-12-11,156817.47071590397
2023-12-12,156602.9139742065
2023-12-13,159913.64304027104
2023-12-14,160333.7427617297
2023-12-15,161338.60674211115
2023-12-18,163101.99257079698
2023-12-19,164197.9100277839
2023-12-20,160261.87092020584
2023-12-21,164151.48571758566
2023-12-22,166742.94545858336
2023-12-26,170856.39688747728
2023-12-27,172127.02264409664
2023-12-28,172757.7595311923
2023-12-29,173281.88320227776
2024-01-01,173420.18467226197
2024-01-02,173604.39582300925
2024-01-03,172719.7902142738
2024-01-04,175106.52183975204
2024-01-05,174783.28494118486
2024-01-08,173692.7180062565
2024-01-09,175821.16176163984
2024-01-10,176226.0887169571
2024-01-11,175897.94949286463
2024-01-12,177283.541409933
2024-01-15,177605.755977065
2024-01-16,177177.2665307805
2024-01-17,174507.7527714282
2024-01-18,174110.58067075946
2024-01-19,176024.83883956145
2024-01-23,172069.9580824598
2024-01-24,175028.1343235713
2024-01-25,175175.62868262664
2024-01-29,178019.69966178047
2024-01-30,178150.28584587283
2024-01-31,180062.8262918493
